browser,version,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,link,duration_s,,,,,,,,,,
Firefox,116,MacOS,en-CA,2023-08-16_19:11:08,2023-08-16_15:11:08,2023-06-07_23:08:25,https://www.testable.org/experiment/11502/795217/start?token=av20,554.024,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
rowNo,type,stim1,stimFormat,key,label,presTime,responseOptions,responseWindow,keyboard,if,then,presTime_ms,presTime_f,presTime_fDuration,timestamp,response,RT,correct
146,test,T,word,m,2t20_1,1000,waitResponseWindow,3000,m,,,999,60,16.65,285388,timeout,2994,0
147,test,C,word,m,2t21_1,1000,waitResponseWindow,3000,m,,,1000,60,16.66,288387,timeout,2989,0
148,test,T,word,m,2t22_1C,1000,waitResponseWindow,3000,m,,,380;1001,22,16.7,288767,m,371,1
150,test,,word,,placeholder6,,waitResponseWindow,1500,m,,,,,,299824,timeout,1489,
151,test,K,word,m,2t1_2,1000,waitResponseWindow,3000,m,,,1001,60;60,16.68,302822,timeout,2992,0
152,test,S,word,m,2t2_2,1000,waitResponseWindow,3000,m,,,999,60,16.66,305822,timeout,2992,0
153,test,K,word,m,2t3_2C,1000,waitResponseWindow,3000,m,,,1000,60,16.67,308822,timeout,2993,0
154,test,S,word,m,2t4_2C,1000,waitResponseWindow,3000,m,,,1000,60,16.67,311823,timeout,2990,0
155,test,D,word,m,2t5_2,1000,waitResponseWindow,3000,m,,,999,60,16.65,314823,timeout,2992,0
156,test,H,word,m,2t6_2,1000,waitResponseWindow,3000,m,,,1000,60,16.67,317823,timeout,2992,0
157,test,D,word,m,2t7_2C,1000,waitResponseWindow,3000,m,,,1000,60,16.67,320823,timeout,2992,0
158,test,T,word,m,2t8_2,1000,waitResponseWindow,3000,m,,,1000,60,16.67,323823,timeout,2989,0
159,test,D,word,m,2t9_2C,1000,waitResponseWindow,3000,m,,,1000,60,16.67,326823,timeout,2989,0
160,test,B,word,m,2t10_2,1000,waitResponseWindow,3000,m,,,1000,60,16.67,329824,timeout,2992,0
161,test,I,word,m,2t11_2,1000,waitResponseWindow,3000,m,,,1000,60,16.67,332825,timeout,2992,0
162,test,R,word,m,2t12_2,1000,waitResponseWindow,3000,m,,,1000,60,16.67,335824,timeout,2992,0
163,test,C,word,m,2t13_2,1000,waitResponseWindow,3000,m,,,1000,60,16.67,338824,timeout,2989,0
164,test,E,word,m,2t14_2,1000,waitResponseWindow,3000,m,,,1000,60,16.67,341825,timeout,2992,0
165,test,C,word,m,2t15_2C,1000,waitResponseWindow,3000,m,,,1000,60,16.67,344824,timeout,2989,0
166,test,A,word,m,2t16_2,1000,waitResponseWindow,3000,m,,,1000,60,16.67,347825,timeout,2992,0
167,test,O,word,m,2t17_2,1000,waitResponseWindow,3000,m,,,1000,60,16.67,350825,timeout,2989,0
168,test,C,word,m,2t18_2,1000,waitResponseWindow,3000,m,,,1000,60,16.67,353825,timeout,2990,0
169,test,M,word,m,2t19_2,1000,waitResponseWindow,3000,m,,,1000,60,16.67,356825,timeout,2992,0
170,test,E,word,m,2t20_2,1000,waitResponseWindow,3000,m,,,1000,60,16.67,359825,timeout,2989,0
171,test,R,word,m,2t21_2,1000,waitResponseWindow,3000,m,,,999,60,16.65,362825,timeout,2990,0
172,test,E,word,m,2t22_2C,1000,waitResponseWindow,3000,m,,,341;1000,20,16.67,363166,m,330,1
174,test,,word,,placeholder7,,waitResponseWindow,1500,m,,,,,,373659,timeout,1490,
175,test,C,word,m,3t1_1,1000,waitResponseWindow,3000,m,,,1000,60;60,16.66,376660,timeout,2991,0
176,test,P,word,m,3t2_1,1000,waitResponseWindow,3000,m,,,1000,60,16.67,379660,timeout,2991,0
