browser,version,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,link,duration_s
Firefox,"114.0",MacOS,en-CA,2023-06-19_19:00:53,2023-06-19_15:00:53,2023-06-07_23:08:25,https://www.testable.org/experiment/11502/795217/start,535.713

rowNo,type,stim1,stimFormat,key,label,presTime,responseOptions,responseWindow,keyboard,if,then,presTime_ms,presTime_f,presTime_fDuration,timestamp,response,RT,correct
"120",test,S,word,m,3p11_2,"1000",waitResponseWindow,"3000",m,"","","1000","119","8.40",219422,timeout,2988,"0"
"121",test,B,word,m,3p12_2,"1000",waitResponseWindow,"3000",m,"","","1004","121","8.30",222426,timeout,2995,"0"
"122",test,I,word,m,3p13_2,"1000",waitResponseWindow,"3000",m,"","","1004","121","8.29",225429,timeout,2993,"0"
"123",test,S,word,m,3p14_2C,"1000",waitResponseWindow,"3000",m,"","",376;1003,"45","8.24",225805,m,364,"1"
"124",test,D,word,m,3p15_2,"1000",waitResponseWindow,"3000",m,"","","1001",121;120,"8.31",231434,timeout,2992,"0"
"126",test,"",word,"",placeholder5,"",waitResponseWindow,"1500",m,"","","","","",240388,timeout,1492,""
"127",test,E,word,m,2t1_1,"1000",waitResponseWindow,"3000",m,"","","996","120","8.30",243384,timeout,2987,"0"
"128",test,S,word,m,2t2_1,"1000",waitResponseWindow,"3000",m,"","","996","120","8.30",246380,timeout,2987,"0"
"129",test,M,word,m,2t3_1,"1000",waitResponseWindow,"3000",m,"","","1004","121","8.30",249384,timeout,2994,"0"
"130",test,A,word,m,2t4_1,"1000",waitResponseWindow,"3000",m,"","","996","120","8.30",252380,timeout,2987,"0"
"131",test,M,word,m,2t5_1C,"1000",waitResponseWindow,"3000",m,"","",433;1000,"51","8.33",252812,m,421,"1"
"132",test,I,word,m,2t6_1,"1000",waitResponseWindow,"3000",m,"","","1004",120;121,"8.32",258384,timeout,2994,"0"
"133",test,M,word,m,2t7_1C,"1000",waitResponseWindow,"3000",m,"","",419;1000,"50","8.33",258801,m,407,"1"
"134",test,C,word,m,2t8_1,"1000",waitResponseWindow,"3000",m,"","","997",119;120,"8.35",264380,timeout,2987,"0"
"135",test,P,word,m,2t9_1,"1000",waitResponseWindow,"3000",m,"","","1003","121","8.29",267384,timeout,2995,"0"
"136",test,S,word,m,2t10_1,"1000",waitResponseWindow,"3000",m,"","","996","120","8.30",270380,timeout,2988,"0"
"137",test,P,word,m,2t11_1C,"1000",waitResponseWindow,"3000",m,"","",376;1004,"45","8.24",270755,m,366,"1"
"138",test,S,word,m,2t12_1C,"1000",waitResponseWindow,"3000",m,"","",373;996,121;45,"8.28",273751,m,362,"1"
"139",test,D,word,m,2t13_1,"1000",waitResponseWindow,"3000",m,"","","996",120;120,"8.30",279380,timeout,2996,"0"
"140",test,I,word,m,2t14_1,"1000",waitResponseWindow,"3000",m,"","","1004","121","8.30",282384,timeout,3000,"0"
"141",test,O,word,m,2t15_1,"1000",waitResponseWindow,"3000",m,"","","1000","120","8.33",285384,timeout,2990,"0"
"142",test,I,word,m,2t16_1C,"1000",waitResponseWindow,"3000",m,"","",280;996,"34","8.21",285663,m,270,"1"
"143",test,S,word,m,2t17_1,"1000",waitResponseWindow,"3000",m,"","","1004",120;121,"8.30",291392,timeout,2995,"0"
"144",test,D,word,m,2t18_1,"1000",waitResponseWindow,"3000",m,"","","1004","121","8.30",294396,timeout,2994,"0"
"145",test,B,word,m,2t19_1,"1000",waitResponseWindow,"3000",m,"","","1000","120","8.33",297397,timeout,2990,"0"
"146",test,T,word,m,2t20_1,"1000",waitResponseWindow,"3000",m,"","","1000","120","8.34",300396,timeout,2991,"0"
"147",test,C,word,m,2t21_1,"1000",waitResponseWindow,"3000",m,"","","1000","120","8.33",303396,timeout,2990,"0"
"148",test,T,word,m,2t22_1C,"1000",waitResponseWindow,"3000",m,"","",326;1000,"39","8.23",303722,m,316,"1"
"150",test,"",word,"",placeholder6,"",waitResponseWindow,"1500",m,"","","","","",312254,timeout,1492,""
"151",test,K,word,m,2t1_2,"1000",waitResponseWindow,"3000",m,"","","996",121;118,"8.35",315251,timeout,2986,"0"
"152",test,S,word,m,2t2_2,"1000",waitResponseWindow,"3000",m,"","","996","120","8.30",318255,timeout,2995,"0"
"153",test,K,word,m,2t3_2C,"1000",waitResponseWindow,"3000",m,"","",320;1000,"38","8.33",318574,m,309,"1"
"154",test,S,word,m,2t4_2C,"1000",waitResponseWindow,"3000",m,"","",324;999,120;38,"8.32",321578,m,314,"1"
"155",test,D,word,m,2t5_2,"1000",waitResponseWindow,"3000",m,"","","996",120;120,"8.32",327259,timeout,2994,"0"
"156",test,H,word,m,2t6_2,"1000",waitResponseWindow,"3000",m,"","","1000","120","8.33",330259,timeout,2989,"0"
"157",test,D,word,m,2t7_2C,"1000",waitResponseWindow,"3000",m,"","",296;1004,"35","8.20",330554,m,286,"1"
"158",test,T,word,m,2t8_2,"1000",waitResponseWindow,"3000",m,"","","999",121;120,"8.32",336263,timeout,2990,"0"
"159",test,D,word,m,2t9_2C,"1000",waitResponseWindow,"3000",m,"","",328;1000,"39","8.33",336590,m,317,"1"
"160",test,B,word,m,2t10_2,"1000",waitResponseWindow,"3000",m,"","","1000",120;120,"8.33",342260,timeout,2986,"0"
"161",test,I,word,m,2t11_2,"1000",waitResponseWindow,"3000",m,"","","1000","120","8.33",345259,timeout,2989,"0"
"162",test,R,word,m,2t12_2,"1000",waitResponseWindow,"3000",m,"","","1008","120","8.40",348259,timeout,2990,"0"
"163",test,C,word,m,2t13_2,"1000",waitResponseWindow,"3000",m,"","","1004","121","8.30",351269,timeout,2999,"0"
"164",test,E,word,m,2t14_2,"1000",waitResponseWindow,"3000",m,"","","999","120","8.32",354265,timeout,2991,"0"
"165",test,C,word,m,2t15_2C,"1000",waitResponseWindow,"3000",m,"","",353;1004,"42","8.22",354615,m,342,"1"
"166",test,A,word,m,2t16_2,"1000",waitResponseWindow,"3000",m,"","","1001",121;120,"8.32",360269,timeout,2994,"0"
"167",test,O,word,m,2t17_2,"1000",waitResponseWindow,"3000",m,"","","999","120","8.33",363269,timeout,2992,"0"
"168",test,C,word,m,2t18_2,"1000",waitResponseWindow,"3000",m,"","","1003","121","8.29",366273,timeout,2996,"0"
"169",test,M,word,m,2t19_2,"1000",waitResponseWindow,"3000",m,"","","1004","121","8.30",369276,timeout,2994,"0"
"170",test,E,word,m,2t20_2,"1000",waitResponseWindow,"3000",m,"","","996","120","8.30",372272,timeout,2987,"0"
"171",test,R,word,m,2t21_2,"1000",waitResponseWindow,"3000",m,"","","1000","120","8.33",375271,timeout,2987,"0"
"172",test,E,word,m,2t22_2C,"1000",waitResponseWindow,"3000",m,"","",403;1001,"48","8.26",375673,m,391,"1"
"174",test,"",word,"",placeholder7,"",waitResponseWindow,"1500",m,"","","","","",389454,timeout,1493,""
"175",test,C,word,m,3t1_1,"1000",waitResponseWindow,"3000",m,"","","999",121;120,"8.30",392455,timeout,2990,"0"
"176",test,P,word,m,3t2_1,"1000",waitResponseWindow,"3000",m,"","","1000","120","8.33",395454,timeout,2990,"0"
"177",test,R,word,m,3t3_1,"1000",waitResponseWindow,"3000",m,"","","1000","120","8.33",398455,timeout,2991,"0"
"178",test,L,word,m,3t4_1,"1000",waitResponseWindow,"3000",m,"","","1004","121","8.30",401459,timeout,2993,"0"
"179",test,H,word,m,3t5_1,"1000",waitResponseWindow,"3000",m,"","","1000","120","8.33",404459,timeout,2991,"0"
