browser,version,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,link,duration_s
Chrome,114.0.0.0,Windows,en-US,2023-06-09_01:41:37,2023-06-08_18:41:37,2023-06-07_23:08:25,https://www.testable.org/experiment/11502/795217/start?token=julia1,1285.877

rowNo,type,stim1,stimFormat,key,label,presTime,responseOptions,responseWindow,keyboard,if,then,presTime_ms,presTime_f,presTime_fDuration,timestamp,response,RT,correct
"155",test,D,word,m,2t5_2,"1000",waitResponseWindow,"3000",m,"","",221;999,60;13,"16.66",1080528,m,217,"1"
"156",test,H,word,m,2t6_2,"1000",waitResponseWindow,"3000",m,"","",236;999,60;14,"16.66",1083542,m,232,"1"
"157",test,D,word,m,2t7_2C,"1000",waitResponseWindow,"3000",m,"","",115;999,60;6,"16.66",1086419,m,111,"1"
"158",test,T,word,m,2t8_2,"1000",waitResponseWindow,"3000",m,"","",218;999,60;13,"16.66",1089520,m,214,"1"
"159",test,D,word,m,2t9_2C,"1000",waitResponseWindow,"3000",m,"","",315;999,60;18,"16.66",1092615,m,312,"1"
"160",test,B,word,m,2t10_2,"1000",waitResponseWindow,"3000",m,"","",212;999,60;12,"16.67",1095511,m,207,"1"
"161",test,I,word,m,2t11_2,"1000",waitResponseWindow,"3000",m,"","",215;999,60;12,"16.66",1098512,m,211,"1"
"162",test,R,word,m,2t12_2,"1000",waitResponseWindow,"3000",m,"","",226;999,60;13,"16.66",1101521,m,221,"1"
"163",test,C,word,m,2t13_2,"1000",waitResponseWindow,"3000",m,"","",202;999,60;12,"16.66",1104496,m,197,"1"
"164",test,E,word,m,2t14_2,"1000",waitResponseWindow,"3000",m,"","",234;999,60;14,"16.66",1107526,m,230,"1"
"165",test,C,word,m,2t15_2C,"1000",waitResponseWindow,"3000",m,"","",218;999,60;13,"16.66",1110508,m,213,"1"
"166",test,A,word,m,2t16_2,"1000",waitResponseWindow,"3000",m,"","",236;999,60;14,"16.66",1113525,m,232,"1"
