browser,version,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,link,duration_s
Firefox,"114.0",Windows,en-US,2023-06-09_16:31:18,2023-06-09_18:31:18,2023-06-07_23:08:25,https://www.testable.org/experiment/11502/795217/start?token=sabine1,797.256

rowNo,type,stim1,stimFormat,key,label,presTime,responseOptions,responseWindow,keyboard,if,then,presTime_ms,presTime_f,presTime_fDuration,timestamp,response,RT,correct
"129",test,M,word,m,2t3_1,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.66",396258,timeout,2996,"0"
"130",test,A,word,m,2t4_1,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.66",399257,timeout,2990,"0"
"131",test,M,word,m,2t5_1C,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.66",402257,timeout,2992,"0"
"132",test,I,word,m,2t6_1,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.66",405257,timeout,2994,"0"
"133",test,M,word,m,2t7_1C,"1000",waitResponseWindow,"3000",m,"","",484;1000,"28","16.66",405739,m,469,"1"
"134",test,C,word,m,2t8_1,"1000",waitResponseWindow,"3000",m,"","","1000",60;60,"16.66",411255,timeout,2991,"0"
"135",test,P,word,m,2t9_1,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.66",414254,timeout,2993,"0"
"136",test,S,word,m,2t10_1,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.66",417254,timeout,2994,"0"
"137",test,P,word,m,2t11_1C,"1000",waitResponseWindow,"3000",m,"","",839;1000,"50","16.66",418092,m,834,"1"
"138",test,S,word,m,2t12_1C,"1000",waitResponseWindow,"3000",m,"","",439;1000,60;26,"16.66",420692,m,431,"1"
"139",test,D,word,m,2t13_1,"1000",waitResponseWindow,"3000",m,"","","1000",60;60,"16.66",426253,timeout,2988,"0"
"140",test,I,word,m,2t14_1,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.66",429252,timeout,2984,"0"
"141",test,O,word,m,2t15_1,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.66",432251,timeout,2995,"0"
"142",test,I,word,m,2t16_1C,"1000",waitResponseWindow,"3000",m,"","",437;1000,"26","16.66",432688,m,425,"1"
"143",test,S,word,m,2t17_1,"1000",waitResponseWindow,"3000",m,"","","1000",60;60,"16.66",438250,timeout,2992,"0"
"144",test,D,word,m,2t18_1,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.66",441250,timeout,2996,"0"
"145",test,B,word,m,2t19_1,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.66",444249,timeout,2991,"0"
"146",test,T,word,m,2t20_1,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.66",447250,timeout,2993,"0"
"147",test,C,word,m,2t21_1,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.66",450248,timeout,2977,"0"
"148",test,T,word,m,2t22_1C,"1000",waitResponseWindow,"3000",m,"","",528;1000,"31","16.66",450776,m,520,"1"
"150",test,"",word,"",placeholder6,"",waitResponseWindow,"1500",m,"","","","","",521252,timeout,1490,""
"151",test,K,word,m,2t1_2,"1000",waitResponseWindow,"3000",m,"","","1000",60;60,"16.66",524252,timeout,2989,"0"
"152",test,S,word,m,2t2_2,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.66",527252,timeout,2992,"0"
"153",test,K,word,m,2t3_2C,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.66",530252,timeout,2992,"0"
"154",test,S,word,m,2t4_2C,"1000",waitResponseWindow,"3000",m,"","",699;1000,"41","16.66",530949,m,686,"1"
"155",test,D,word,m,2t5_2,"1000",waitResponseWindow,"3000",m,"","","1000",60;60,"16.66",536249,timeout,2990,"0"
"156",test,H,word,m,2t6_2,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.66",539249,timeout,2994,"0"
