browser,version,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,link,duration_s
Firefox,"116.0",MacOS,en-CA,2023-08-22_01:18:10,2023-08-21_21:18:10,2023-06-07_23:08:25,https://www.testable.org/experiment/11502/795217/start?token=av21,578.285

rowNo,type,stim1,stimFormat,key,label,presTime,responseOptions,responseWindow,keyboard,if,then,presTime_ms,presTime_f,presTime_fDuration,timestamp,response,RT,correct
"142",test,I,word,m,2t16_1C,"1000",waitResponseWindow,"3000",m,"","",429;1000,"25","16.67",312226,m,420,"1"
"143",test,S,word,m,2t17_1,"1000",waitResponseWindow,"3000",m,"","","1000",60;60,"16.67",317798,timeout,2992,"0"
"144",test,D,word,m,2t18_1,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",320798,timeout,2989,"0"
"145",test,B,word,m,2t19_1,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",323798,timeout,2990,"0"
"146",test,T,word,m,2t20_1,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",326798,timeout,2989,"0"
"147",test,C,word,m,2t21_1,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",329787,m,2978,"1"
"148",test,T,word,m,2t22_1C,"1000",waitResponseWindow,"3000",m,"","",616;1000,"36","16.68",330412,m,608,"1"
"150",test,"",word,"",placeholder6,"",waitResponseWindow,"1500",m,"","","","","",349816,timeout,1489,""
"151",test,K,word,m,2t1_2,"1000",waitResponseWindow,"3000",m,"","","1000",60;60,"16.66",352816,timeout,2991,"0"
"152",test,S,word,m,2t2_2,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.66",355817,timeout,2988,"0"
"153",test,K,word,m,2t3_2C,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",358816,timeout,2990,"0"
"154",test,S,word,m,2t4_2C,"1000",waitResponseWindow,"3000",m,"","","1001","60","16.68",361816,timeout,2985,"0"
"155",test,D,word,m,2t5_2,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",364816,timeout,2988,"0"
"156",test,H,word,m,2t6_2,"1000",waitResponseWindow,"3000",m,"","","1001","60","16.68",367817,timeout,2989,"0"
"157",test,D,word,m,2t7_2C,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",370817,timeout,2987,"0"
"158",test,T,word,m,2t8_2,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",373818,timeout,2990,"0"
"159",test,D,word,m,2t9_2C,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",376817,timeout,2986,"0"
"160",test,B,word,m,2t10_2,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",379818,timeout,2988,"0"
"161",test,I,word,m,2t11_2,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",382817,timeout,2987,"0"
"162",test,R,word,m,2t12_2,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",385818,timeout,2981,"0"
"163",test,C,word,m,2t13_2,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",388818,timeout,2987,"0"
"164",test,E,word,m,2t14_2,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",391818,timeout,2987,"0"
"165",test,C,word,m,2t15_2C,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",394818,timeout,2987,"0"
"166",test,A,word,m,2t16_2,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",397823,timeout,2992,"0"
"167",test,O,word,m,2t17_2,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",400819,timeout,2984,"0"
"168",test,C,word,m,2t18_2,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",403819,timeout,2988,"0"
"169",test,M,word,m,2t19_2,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",406819,timeout,2988,"0"
"170",test,E,word,m,2t20_2,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",409819,timeout,2987,"0"
"171",test,R,word,m,2t21_2,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",412819,timeout,2990,"0"
"172",test,E,word,m,2t22_2C,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",415820,timeout,2987,"0"
"174",test,"",word,"",placeholder7,"",waitResponseWindow,"1500",m,"","","","","",425004,timeout,1479,""
"175",test,C,word,m,3t1_1,"1000",waitResponseWindow,"3000",m,"","","999","60","16.66",428004,timeout,2991,"0"
"176",test,P,word,m,3t2_1,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",431004,timeout,2991,"0"
"177",test,R,word,m,3t3_1,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.66",434004,timeout,2989,"0"
"178",test,L,word,m,3t4_1,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",437004,timeout,2991,"0"
"179",test,H,word,m,3t5_1,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",440005,timeout,2991,"0"
"180",test,R,word,m,3t6_1C,"1000",waitResponseWindow,"3000",m,"","","999","60","16.66",443005,timeout,2990,"0"
"181",test,L,word,m,3t7_1C,"1000",waitResponseWindow,"3000",m,"","",488;1000,"29","16.67",443492,m,479,"1"
"182",test,H,word,m,3t8_1C,"1000",waitResponseWindow,"3000",m,"","","1000",60;60,"16.67",449005,timeout,2989,"0"
"183",test,M,word,m,3t9_1,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",452005,timeout,2990,"0"
"184",test,O,word,m,3t10_1,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",455005,timeout,2992,"0"
"185",test,T,word,m,3t11_1,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",458005,timeout,2992,"0"
"186",test,M,word,m,3t12_1C,"1000",waitResponseWindow,"3000",m,"","","999","60","16.66",461006,timeout,2991,"0"
"187",test,S,word,m,3t13_1,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.66",464006,timeout,2992,"0"
"188",test,I,word,m,3t14_1,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",467006,timeout,2990,"0"
"189",test,A,word,m,3t15_1,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",470007,timeout,2993,"0"
"190",test,E,word,m,3t16_1,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",473006,timeout,2992,"0"
"191",test,C,word,m,3t17_1,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",476007,timeout,2990,"0"
"192",test,M,word,m,3t18_1,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",479007,timeout,2995,"0"
"193",test,E,word,m,3t19_1C,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",482006,timeout,2988,"0"
"194",test,R,word,m,3t20_1,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.66",485007,timeout,2994,"0"
"195",test,M,word,m,3t21_1C,"1000",waitResponseWindow,"3000",m,"","","999","60","16.65",488008,timeout,2992,"0"
"196",test,H,word,m,3t22_1,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",491007,timeout,2991,"0"
"197",test,T,word,m,3t23_1,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",494007,timeout,2989,"0"
"199",test,"",word,"",placeholder8,"",waitResponseWindow,"1500",m,"","","","","",506291,timeout,1476,""
"200",test,O,word,m,3t1_2,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",509292,timeout,2991,"0"
"201",test,L,word,m,3t2_2,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",512292,timeout,2992,"0"
"202",test,D,word,m,3t3_2,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",515292,timeout,2992,"0"
"203",test,K,word,m,3t4_2,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",518293,timeout,2991,"0"
"204",test,I,word,m,3t5_2,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",521292,timeout,2991,"0"
"205",test,D,word,m,3t6_2C,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",524293,timeout,2990,"0"
"206",test,A,word,m,3t7_2,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",527293,timeout,2992,"0"
"207",test,E,word,m,3t8_2,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",530293,timeout,2992,"0"
"208",test,B,word,m,3t9_2,"1000",waitResponseWindow,"3000",m,"","","1001","60","16.68",533293,timeout,2992,"0"
"209",test,S,word,m,3t10_2,"1000",waitResponseWindow,"3000",m,"","","999","60","16.66",536293,timeout,2991,"0"
"210",test,P,word,m,3t11_2,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",539293,timeout,2991,"0"
"211",test,B,word,m,3t12_2C,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",542294,timeout,2992,"0"
"212",test,C,word,m,3t13_2,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",545294,timeout,2992,"0"
"213",test,P,word,m,3t14_2C,"1000",waitResponseWindow,"3000",m,"","",416;1000,"24","16.67",545709,m,405,"1"
"214",test,R,word,m,3t15_2,"1000",waitResponseWindow,"3000",m,"","","1001",60;60,"16.68",551293,timeout,2990,"0"
"215",test,C,word,m,3t16_2C,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.66",554294,timeout,2990,"0"
"216",test,S,word,m,3t17_2,"1000",waitResponseWindow,"3000",m,"","","999","60","16.66",557294,timeout,2990,"0"
"217",test,R,word,m,3t18_2C,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",560293,timeout,2991,"0"
"218",test,K,word,m,3t19_2,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",563294,timeout,2990,"0"
"219",test,C,word,m,3t20_2,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",566296,timeout,2993,"0"
"220",test,S,word,m,3t21_2,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",569295,timeout,2992,"0"
"221",test,K,word,m,3t22_2C,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",572295,timeout,2989,"0"
"222",test,T,word,m,3t23_2,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",575295,timeout,2990,"0"
