browser,version,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,link,duration_s
Microsoft Edge,113.0.1774.50,Windows,en-US,2023-06-09_18:30:19,2023-06-09_12:30:19,2023-06-07_23:08:25,https://www.testable.org/experiment/11502/795217/start?token=bob1,905.65

rowNo,type,stim1,stimFormat,key,label,presTime,responseOptions,responseWindow,keyboard,if,then,presTime_ms,presTime_f,presTime_fDuration,timestamp,response,RT,correct
"134",test,C,word,m,2t8_1,"1000",waitResponseWindow,"3000",m,"","",507;1000,60;30,"16.66",559012,m,503,"1"
"135",test,P,word,m,2t9_1,"1000",waitResponseWindow,"3000",m,"","",320;1000,60;19,"16.67",561824,m,317,"1"
"136",test,S,word,m,2t10_1,"1000",waitResponseWindow,"3000",m,"","",366;1000,60;21,"16.67",564870,m,359,"1"
"137",test,P,word,m,2t11_1C,"1000",waitResponseWindow,"3000",m,"","",537;1000,60;32,"16.66",568040,m,532,"1"
"138",test,S,word,m,2t12_1C,"1000",waitResponseWindow,"3000",m,"","",532;1000,60;31,"16.66",571034,m,529,"1"
"139",test,D,word,m,2t13_1,"1000",waitResponseWindow,"3000",m,"","",355;1000,60;21,"16.66",573857,m,352,"1"
"140",test,I,word,m,2t14_1,"1000",waitResponseWindow,"3000",m,"","",501;1000,60;30,"16.66",577003,m,490,"1"
"141",test,O,word,m,2t15_1,"1000",waitResponseWindow,"3000",m,"","",268;1000,60;15,"16.66",579769,m,264,"1"
"142",test,I,word,m,2t16_1C,"1000",waitResponseWindow,"3000",m,"","",90;1000,60;5,"16.69",582591,m,86,"1"
"143",test,S,word,m,2t17_1,"1000",waitResponseWindow,"3000",m,"","",286;1000,60;17,"16.67",585787,m,280,"1"
"144",test,D,word,m,2t18_1,"1000",waitResponseWindow,"3000",m,"","",302;1000,60;18,"16.66",588802,m,299,"1"
"145",test,B,word,m,2t19_1,"1000",waitResponseWindow,"3000",m,"","",559;1000,60;33,"16.66",592059,m,547,"1"
"146",test,T,word,m,2t20_1,"1000",waitResponseWindow,"3000",m,"","",451;1000,60;26,"16.66",594951,m,443,"1"
"147",test,C,word,m,2t21_1,"1000",waitResponseWindow,"3000",m,"","",512;1000,60;30,"16.66",598012,m,507,"1"
"148",test,T,word,m,2t22_1C,"1000",waitResponseWindow,"3000",m,"","",379;1000,60;22,"16.66",600878,m,376,"1"
"150",test,"",word,"",placeholder6,"",waitResponseWindow,"1500",m,"","","","","",622314,timeout,1478,""
"151",test,K,word,m,2t1_2,"1000",waitResponseWindow,"3000",m,"","","1000",60;60,"16.66",625313,timeout,2996,"0"
"152",test,S,word,m,2t2_2,"1000",waitResponseWindow,"3000",m,"","","1000","60","16.67",628314,timeout,2995,"0"
"153",test,K,word,m,2t3_2C,"1000",waitResponseWindow,"3000",m,"","",409;1000,"24","16.66",628721,m,395,"1"
"154",test,S,word,m,2t4_2C,"1000",waitResponseWindow,"3000",m,"","",647;1000,60;38,"16.66",631958,m,642,"1"
"155",test,D,word,m,2t5_2,"1000",waitResponseWindow,"3000",m,"","",418;1000,60;25,"16.66",634729,m,411,"1"
"156",test,H,word,m,2t6_2,"1000",waitResponseWindow,"3000",m,"","",412;1000,60;24,"16.66",637723,m,398,"1"
"157",test,D,word,m,2t7_2C,"1000",waitResponseWindow,"3000",m,"","",310;1000,60;18,"16.66",640621,m,306,"1"
"158",test,T,word,m,2t8_2,"1000",waitResponseWindow,"3000",m,"","",397;1000,60;23,"16.66",643708,m,390,"1"
"159",test,D,word,m,2t9_2C,"1000",waitResponseWindow,"3000",m,"","",353;1000,60;21,"16.66",646662,m,345,"1"
"160",test,B,word,m,2t10_2,"1000",waitResponseWindow,"3000",m,"","",258;1000,60;15,"16.66",649567,m,253,"1"
"161",test,I,word,m,2t11_2,"1000",waitResponseWindow,"3000",m,"","",252;1000,60;14,"16.66",652560,m,244,"1"
"162",test,R,word,m,2t12_2,"1000",waitResponseWindow,"3000",m,"","",253;1000,60;15,"16.65",655562,m,250,"1"
"163",test,C,word,m,2t13_2,"1000",waitResponseWindow,"3000",m,"","",254;1000,60;15,"16.66",658562,m,245,"1"
"164",test,E,word,m,2t14_2,"1000",waitResponseWindow,"3000",m,"","",6;1000,60;0,NaN,661314,m,1,"1"
"165",test,C,word,m,2t15_2C,"1000",waitResponseWindow,"3000",m,"","",273;1000,60;16,"16.66",664581,m,269,"1"
"166",test,A,word,m,2t16_2,"1000",waitResponseWindow,"3000",m,"","",291;1000,60;17,"16.66",667598,m,287,"1"
"167",test,O,word,m,2t17_2,"1000",waitResponseWindow,"3000",m,"","",248;1000,60;14,"16.67",670554,m,243,"1"
"168",test,C,word,m,2t18_2,"1000",waitResponseWindow,"3000",m,"","",273;1000,60;16,"16.67",673579,m,269,"1"
"169",test,M,word,m,2t19_2,"1000",waitResponseWindow,"3000",m,"","",91;1000,60;5,"16.65",676397,m,81,"1"
"170",test,E,word,m,2t20_2,"1000",waitResponseWindow,"3000",m,"","",291;1000,60;17,"16.66",679596,m,284,"1"
"171",test,R,word,m,2t21_2,"1000",waitResponseWindow,"3000",m,"","",336;1000,60;20,"16.66",682641,m,325,"1"
"172",test,E,word,m,2t22_2C,"1000",waitResponseWindow,"3000",m,"","",448;1000,60;26,"16.66",685753,m,443,"1"
"174",test,"",word,"",placeholder7,"",waitResponseWindow,"1500",m,"","","","","",737582,timeout,1486,""
"175",test,C,word,m,3t1_1,"1000",waitResponseWindow,"3000",m,"","",749;1000,60;44,"16.66",738331,m,736,"1"
"176",test,P,word,m,3t2_1,"1000",waitResponseWindow,"3000",m,"","",568;1000,60;34,"16.66",741149,m,564,"1"
"177",test,R,word,m,3t3_1,"1000",waitResponseWindow,"3000",m,"","",624;1000,60;37,"16.67",744204,m,612,"1"
"178",test,L,word,m,3t4_1,"1000",waitResponseWindow,"3000",m,"","",662;1000,60;39,"16.66",747242,m,656,"1"
"179",test,H,word,m,3t5_1,"1000",waitResponseWindow,"3000",m,"","",662;1000,60;39,"16.67",750241,m,650,"1"
